Total Kasus Positif Terkonfirmasi,Total Pasien dalam Perawatan,Total Pasien Sembuh,Total Pasien Meninggal,Kategori Bulan,Kategori Wilayah
0,0,0,0,Maret,Nas
2,2,0,0,Maret,Nas
2,2,0,0,Maret,Nas
2,2,0,0,Maret,Nas
2,2,0,0,Maret,Nas
4,4,0,0,Maret,Nas
4,4,0,0,Maret,Nas
6,6,0,0,Maret,Nas
19,19,0,0,Maret,Nas
27,25,2,0,Maret,Nas
34,31,2,1,Maret,Nas
34,31,2,1,Maret,Nas
69,63,2,4,Maret,Nas
96,83,8,5,Maret,Nas
117,104,8,5,Maret,Nas
134,121,8,5,Maret,Nas
172,158,9,5,Maret,Nas
227,197,11,19,Maret,Nas
309,269,15,25,Maret,Nas
369,320,17,32,Maret,Nas
450,392,20,38,Maret,Nas
514,437,29,48,Maret,Nas
579,500,30,49,Maret,Nas
685,600,30,55,Maret,Nas
790,701,31,58,Maret,Nas
893,780,35,78,Maret,Nas
1046,913,46,87,Maret,Nas
1155,994,59,102,Maret,Nas
1285,1107,64,114,Maret,Nas
1414,1217,75,122,Maret,Nas
1528,1311,81,136,Maret,Nas
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
0,0,0,0,Maret,Kaltim
1,1,0,0,Maret,Kaltim
9,9,0,0,Maret,Kaltim
9,9,0,0,Maret,Kaltim
9,9,0,0,Maret,Kaltim
11,11,0,0,Maret,Kaltim
11,11,0,0,Maret,Kaltim
11,11,0,0,Maret,Kaltim
11,11,0,0,Maret,Kaltim
11,11,0,0,Maret,Kaltim
17,17,0,0,Maret,Kaltim
17,16,0,1,Maret,Kaltim
17,16,0,1,Maret,Kaltim
20,19,0,1,Maret,Kaltim
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
0,0,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1,1,0,0,Maret,Smd
1677,1417,103,157,April,Nas
1790,1508,112,170,April,Nas
1986,1671,134,181,April,Nas
